P040	小學	加拿大國際學校     CANADIAN INTERNATIONAL SCHOOL     http://www.cdnis.edu.hk/	香港香港仔南朗山道３６號及加拿大國際學校第二期	36 NAM LONG SHAN ROAD (AND CANADIAN INTERNATIONAL SCHOOL PHASE II) ABERDEEN HONG KONG
P041	小學	嘉諾撒小學     CANOSSA PRIMARY SCHOOL     http://www.cpswts.edu.hk	九龍黃大仙親仁街５號	5 CHUN YAN STREET WONG TAI SIN KOWLOON
P042	小學	嘉諾撒小學（新蒲崗）     CANOSSA PRIMARY SCHOOL (SAN PO KONG)     http://www.cps.edu.hk	九龍新蒲崗彩頤里９號	9 CHOI YEE LANE SAN PO KONG KOWLOON
P043	小學	香港嘉諾撒學校     CANOSSA SCHOOL (HONG KONG)     http://www.canossahk.edu.hk	香港鰂魚涌海澤街８號	8 HOI CHAK STREET QUARRY BAY HONG KONG
P044	小學	廣東道官立小學     CANTON ROAD GOVERNMENT PRIMARY SCHOOL     http://www.crgps.edu.hk/	九龍尖沙咀廣東道１７８號	178 CANTON ROAD TSIMSHATSUI KOWLOON
P045	小學	明愛賽馬會樂仁學校     CARITAS JOCKEY CLUB LOK YAN SCHOOL     http://www.lys.edu.hk  http://lys.hkcampus.net	九龍深水埗永康街１２１號	121 WING HONG STREET SHAMSHUIPO KOWLOON
P046	小學	明愛樂進學校     CARITAS LOK JUN SCHOOL     http://www.lokjun.edu.hk	新界沙田文禮路３９號	39 MAN LAI ROAD SHA TIN NEW TERRITORIES
P047	小學	明愛樂勤學校     CARITAS LOK KAN SCHOOL     http://www.lokkan.edu.hk	新界天水圍天壇街１７號	17 TIN TAN STREET, TIN SHUI WAI NEW TERRITORIES
P048	小學	明愛樂義學校     CARITAS LOK YI SCHOOL     http://lokyi.edu.hk/	香港鯉景道５１號鯉景灣	51 LEI KING ROAD LEI KING WAN HONG KONG
P049	小學	明愛培立學校     CARITAS PELLETIER SCHOOL     http://www.pelletier.edu.hk	九龍清水灣道６０１０地段	N.K.I.L. 6010 CLEAR WATER BAY ROAD KOWLOON
P050	小學	明愛樂群學校     CARITAS RESURRECTION SCHOOL     http://www.crs.edu.hk	新界沙田穗禾路３１號	31 SUI WO ROAD SHATIN NEW TERRITORIES
P051	小學	迦密愛禮信小學     CARMEL ALISON LAM PRIMARY SCHOOL     http://www.calps.edu.hk	新界沙田顯徑邨	HIN KENG ESTATE SHATIN NEW TERRITORIES
P052	小學	迦密梁省德學校     CARMEL LEUNG SING TAK SCHOOL     http://www.clst.edu.hk	九龍觀塘順安邨	ESTATE SCHOOL NO 2 SHUN ON ESTATE KWUN TONG KOWLOON
P053	小學	CARMEL SCHOOL     http://www.carmel.edu.hk/	香港香港半山波老道１０至１２號東翼１＆２樓部分東翼２２９＆２２９Ａ西翼１樓及２樓、	1&2/F BLK WEST WING & CLASSROOM 229 &229A EAST WING & PORTION OF 1/F & 2/F EAST WING 10-12 BORRETT ROAD MID LEVEL HONG KONG
P054	小學	CARMEL SCHOOL   	香港筲箕灣道４６０號	460 SHAU KEI WAN ROAD HONG KONG
